player,rating
J.B. Holmes,3.0012236550237406
Tyler McCumber,2.998622133739616
Nate Lashley,2.9980999516528692
Martin Kaymer,2.996049773000748
John VanDerLaan,2.9937899955589002
Russell Henley,2.9937019318922395
Brian Harman,2.986903178311448
Harris English,2.9824179615315063
Lee Slattery,2.9736066315061995
Colm Moriarty,2.972179499331779
Brendan Steele,2.9716554565102076
Luke List,2.9692922643117847
Ryan Fox,2.968800095079561
Lucas Glover,2.960429868576273
John Oda,2.9602496341863658
Thomas Detry,2.9472699325207206
Abraham Ancer,2.9392727281959754
Beau Hossler,2.9363854589228984
Graeme McDowell,2.9295972742564858
Dylan Frittelli,2.9245421730074592
Scott Arnold,2.924136039294966
Kevin Chappell,2.923647643200686
Denny McCarthy,2.920876238084851
Ryan Yip,2.916180037873474
Marcel Siem,2.9095512211204664
Luke Donald,2.9072944254790163
Matthew Wolff,2.9042249534158087
Cameron Smith,2.8998014938773657
Scott Piercy,2.8992903588608385
Martin Laird,2.895093447508352
Nick Watney,2.89383079683569
Brock Mackenzie,2.8931646416213512
Zack Fischer,2.888797517669136
Jimmy Walker,2.886598924060054
J.T. Poston,2.8846389240056918
Andy Zhang,2.8837012967451336
Wyndham Clark,2.878774899944947
Justin Harding,2.8783498363156683
Vaughn Taylor,2.8754514729750236
Kevin Streelman,2.8751788296858924
Jamie Donaldson,2.868302615167736
Chase Seiffert,2.8664730353915475
Braden Bailey,2.865881022782479
Graham DeLaet,2.865115333143809
Ross Fisher,2.861545343555271
Sang-hyun Park,2.8604347741510887
Chris Kirk,2.8597917732459086
Julian Suri,2.8533789835932373
A.J. McInerney,2.849052362123284
Rob Grube,2.842786807868187
Adam Long,2.842524937916631
Shiv Kapur,2.8411185693357695
Keith Mitchell,2.839407427999947
Jeremiah Wooding,2.8329169448684124
Kurt Kitayama,2.8326896153598575
Andrew Putnam,2.8254568487116223
Paul Waring,2.8247541493443027
Steven Tiley,2.823667143518656
Stewart Cink,2.8234506971425324
Sam Ryder,2.821723669417537
Joost Luiten,2.818497847158086
Ken Looper,2.8181806261531324
Harold Varner III,2.8131786077538523
Maverick McNealy,2.810772452948979
Kyle Stanley,2.8078385906371035
Thorbjorn Olesen,2.8064210835181624
Jordan Smith,2.806339785370062
Austin Cook,2.8048332145398946
Bronson Burgoon,2.8028693372663054
Gregory Havret,2.7931686718606716
Cameron Davis,2.7899074743030354
Lanto Griffin,2.784412321847502
Danny Lee,2.7841375120729963
Tom Johnson,2.784076462297657
Jamie Lovemark,2.775301191005139
Talor Gooch,2.770687172476939
Jhonattan Vegas,2.7695521103508987
Toby Tree,2.765738103268343
Joel Dahmen,2.7593408900769085
Cory Whitsett,2.7586559300749443
Matthieu Pavon,2.756452420101042
C.T. Pan,2.755312957638225
Dong Seop Maeng,2.7539154189813804
Hudson Swafford,2.7484107217403073
Kevin Tway,2.74600196995988
Doc Redman,2.7456660916533995
Bob Heintz,2.745085383660419
Benjamin Hebert,2.7357067056773854
Lee Hodges,2.7356473955261853
Jinho Choi,2.7313620695180285
Kiradech Aphibarnrat,2.7308258469446143
Adam Schenk,2.7228482303100203
Nick Taylor,2.719844078367686
Aaron Baddeley,2.719722837409611
Cameron Champ,2.715341058056856
Sam Burns,2.7098546524489606
William McGirt,2.7068178236677296
Fred Couples,2.702840929296556
Matt Jones,2.7025902681271665
Bernd Wiesberger,2.7018587179122284
Kyoung-Hoon Lee,2.7010964390074577
Sebastian Munoz,2.696507848297803
Shingo Katayama,2.6921919870471767
Andy Sullivan,2.6855933485457717
Adam Svensson,2.676482631614369
Ryan Armour,2.6716458776654113
Scott Harrington,2.6680718169943862
Rory Sabbatini,2.6666883378794712
Zach Wright,2.661859676089365
Soren Kjeldsen,2.6615000892928435
Peter Hanson,2.6597071711744125
David Howell,2.652461639373704
Si Woo Kim,2.6522508314040385
Romain Langasque,2.6472170103324344
Joshua Creel,2.6430971069219047
Anirban Lahiri,2.641907982557319
Carlos Ortiz,2.6400689037781007
Corey Conners,2.6359057608613825
Victor Dubuisson,2.6329034258489328
Edoardo Molinari,2.625164858156232
Li Haotong,2.6222095802751273
Peter Uihlein,2.6150457037549937
Will Gordon,2.6136524715041496
Paul Barjon,2.613494584583037
Patrick Fishburn,2.611106686243965
Sean O'Hair,2.608770971697639
Chris Wood,2.608373514194237
Patrick Rodgers,2.606013234503804
David Toms,2.6031453719046445
Renato Paratore,2.6026601825343496
James Hahn,2.5937930404978697
Chris Evans,2.587652765784556
Bo Hoag,2.5875132994619294
David Lingmerth,2.583249352765273
Seung-su Han,2.5816427642735382
Sepp Straka,2.571587104758578
Brian Gay,2.569206499508428
Andrew Landry,2.568763865403681
Zach Murray,2.5669656180933056
Sung Kang,2.562079327336117
Nick Hardy,2.5606343282923367
Zane Scotland,2.5598572244502704
Scott Strohmeyer,2.558748095019725
Danny Willett,2.557214553063984
Andrew Johnston,2.553164027417804
Rafael Echenique,2.5484981306798797
Trey Mullinax,2.547285999139943
Braden Thornberry,2.547219388498399
Kevin Penner,2.5415635073432736
John Huh,2.5353853120614063
Alfie Plant,2.528895998005195
Ben Martin,2.526447699834373
Cameron Tringale,2.5256807355575037
Russ Cochran,2.507536880444213
Dean Burmester,2.5051003884950114
Richy Werenski,2.504293130962478
Chesson Hadley,2.501086429998276
Anthony Wall,2.498941707216397
Laurie Canter,2.4931159940402976
Ryan Blaum,2.4879258950491843
Kristoffer Ventura,2.4856599398886683
Brandon Harkins,2.4837123629953446
Scott Stallings,2.4777688115298284
J.J. Spaun,2.4774279128751564
Justin Lower,2.474686615077336
K.J. Choi,2.4743400044668933
Brice Garnett,2.4727641914553304
Henrik Norlander,2.467252716281191
Tomoharu Otsuki,2.457926898793972
Grant Hirschman,2.456066369953187
Mackenzie Hughes,2.453398996001604
Ollie Schniederjans,2.452901838788909
Jerry Kelly,2.4516011318296944
Xin-Jun Zhang,2.449135049080412
Tom Hoge,2.4467412355868587
Retief Goosen,2.443795329661904
Jeff Overton,2.434053056636709
Chris Rodgers,2.431329419854945
Michael Johnson,2.429469671984351
Shawn Stefani,2.428005370638449
Chad Campbell,2.4272093770633343
Alex Cejka,2.4269643766382596
Floris De Vries,2.4249845382665853
Robert Streb,2.4244073068278897
Justin Walters,2.423272210043761
John Peterson,2.421990099326341
Hideto Tanihara,2.4185286531246395
Daniel Summerhays,2.414749664847013
Scott Brown,2.408867240192551
David Hearn,2.4058243252568716
Dale Whitnell,2.40103269289187
Simon Dyson,2.398123327572212
